dataset_label,variant_label,dataset_root,scan_index,scan_file,hr_path,height,width,num_pixels,scan_mean_dS_rad,scan_std_dS_rad,scan_max_dS_rad
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,0,IN718_test_hr_x_block_104.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_104.npy,128,128,16384,0.008379318751394749,0.002620308892801404,0.013028992339968681
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,1,IN718_test_hr_x_block_115.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_115.npy,128,128,16384,0.007964136078953743,0.002563012298196554,0.015128877945244312
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,2,IN718_test_hr_x_block_118.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_118.npy,128,128,16384,0.008468049578368664,0.0025021142791956663,0.015223138965666294
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,3,IN718_test_hr_x_block_120.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_120.npy,128,128,16384,0.008002148009836674,0.0026104305870831013,0.01358442846685648
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,4,IN718_test_hr_x_block_140.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_140.npy,128,128,16384,0.006379021797329187,0.003143311943858862,0.01401633769273758
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,5,IN718_test_hr_x_block_152.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_152.npy,128,128,16384,0.007683449890464544,0.0025708747562021017,0.013028992339968681
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,6,IN718_test_hr_x_block_153.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_153.npy,128,128,16384,0.0074953557923436165,0.002367675071582198,0.013566865585744381
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,7,IN718_test_hr_x_block_154.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_154.npy,128,128,16384,0.008483817800879478,0.002068017143756151,0.013028992339968681
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,8,IN718_test_hr_x_block_158.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_158.npy,128,128,16384,0.007915085181593895,0.0025307436008006334,0.012410434894263744
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,9,IN718_test_hr_x_block_176.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_176.npy,128,128,16384,0.006428108550608158,0.002739946823567152,0.012197280302643776
