dataset,dataset_label,symmetry,ref_dir,method,method_dir,device,threshold_deg,boundary_connectivity,window_radius_px,counting,n_samples,n_valid_samples,n_invalid_samples,invalid_sample_ids,gt_boundary_centers,boundary_window_observations,spurious_observations,gt_orientation_groups,recovered_gt_orientation_groups,spurious_rate,composition_precision,composition_recall,composition_f1
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,SAN,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/san_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,628578,1560622,1140405,0.10559824693383096,0.894401753066169,0.7307374880015789,0.8043284831032335
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,OCRP w5-local,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,553232,1560622,1071446,0.09294046140287629,0.9070595385971237,0.6865506189198922,0.7815490942795372
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,Q-RBSA,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/qrbsa_adapted_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,450461,1560622,1036266,0.07567540052636336,0.9243245994736367,0.6640083248858468,0.7728344851817227
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,QEDSR,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/qedsr_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,616523,1560622,1044019,0.10357306172724191,0.8964269382727581,0.6689762158934066,0.7661774532581098
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,EDSR,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/edsr_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,875895,1560622,1017925,0.14714637880757497,0.852853621192425,0.6522559594828216,0.7391871849486165
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,Nearest,,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,889207,1560622,904244,0.14938273430074075,0.8506172656992592,0.5794125675531935,0.689297974718374
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,HAN,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/han_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,1660960,1560622,978799,0.2790337304633886,0.7209662695366115,0.627185186419261,0.6708138943346134
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,RCAN,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/rcan_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,2832828,1560622,779301,0.4759022279893195,0.5240977720106805,0.4993528221439913,0.5114261558450174
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,Symm-SLERP,,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,3372032,1560622,596288,0.5664860491534541,0.43351395084654587,0.3820835538650615,0.40617718919603873
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,/data/home/umang/Materials/Reynolds-QSR_paper/experiments/Ti64_DIC_Mclean_fresh_4x4_full_Train/ocrp_direct_reynolds_isometric_l6_w5local_4x4_fresh_ti64_dic_mclean/inference/test_best/sr_quaternions,SLERP,,cpu,5.0,8,1,overlapping_gt_boundary_windows_count_separately,72,72,0,,667027,5952542,4039995,1560622,470076,0.6787007970712344,0.32129920292876557,0.3012106711298444,0.31093080633945325
