dataset,dataset_label,symmetry,method,sample_id,gt_boundary_centers,boundary_window_observations,spurious_observations,spurious_rate,composition_precision,gt_orientation_groups,recovered_gt_orientation_groups,composition_recall,composition_f1
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,0,8143,72679,61705,0.8490072785811582,0.1509927214188418,18857,5948,0.31542663201993953,0.20422448264862333
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,1,8769,78170,67910,0.8687476013816042,0.13125239861839577,20552,6229,0.3030848579213702,0.18317845861999357
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,2,9331,83220,73507,0.8832852679644316,0.11671473203556837,23004,6379,0.2772996000695531,0.16428310281390135
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,3,10084,89894,72797,0.8098093309898324,0.19019066901016757,23692,8403,0.3546766841127807,0.2476059372876256
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,4,9506,84825,65300,0.7698202180960801,0.23017978190391986,21648,8282,0.38257575757575757,0.28742687341608414
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,5,8432,75195,55644,0.7399960103730301,0.2600039896269699,18971,7697,0.40572452690949345,0.3169159591805027
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,6,9322,83315,69260,0.8313028866350597,0.1686971133649403,21471,7442,0.3466070513716175,0.22694017646148176
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,7,8828,78766,62060,0.7879034101008049,0.2120965898991951,20087,7468,0.3717827450589934,0.2701032480144927
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,8,8985,80054,60890,0.7606115871786544,0.2393884128213456,21323,7768,0.3643014585189701,0.2889216867254519
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,9,9202,81953,65434,0.7984332483252596,0.20156675167474036,22240,7812,0.3512589928057554,0.2561462988411715
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,10,8016,71484,54594,0.7637233506798724,0.2362766493201276,17466,7060,0.4042139012939425,0.2982286190320307
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,11,7239,64656,40824,0.6314031180400891,0.3685968819599109,15045,7471,0.4965769358590894,0.42312124209278706
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,12,7904,70526,48304,0.6849105294501319,0.31508947054986813,17004,7645,0.44960009409550694,0.3705144209033923
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,13,9002,80410,59739,0.7429299838328566,0.2570700161671434,20715,7979,0.38517982138546947,0.3083478644016271
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,14,9679,86535,69414,0.8021494193101057,0.19785058068989425,22797,8029,0.3521954643154801,0.2533681598619033
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,15,9791,87447,67489,0.7717703294566994,0.22822967054330057,22980,8585,0.373585726718886,0.28335382483271726
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,16,9655,86129,65858,0.7646437320763041,0.2353562679236959,22678,8363,0.36877149660463887,0.2873322110109143
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,17,10047,89431,68804,0.7693529089465622,0.23064709105343784,25894,8710,0.336371360160655,0.2736527376441575
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,18,9637,86028,63887,0.7426303064118659,0.2573696935881341,22436,8590,0.382866821180246,0.3078184832612094
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,19,9602,85684,67711,0.7902408851127398,0.20975911488726018,22689,7944,0.3501256115298162,0.2623469971893664
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,20,9873,88044,58803,0.6678819681068556,0.33211803189314437,23060,10251,0.4445359930615785,0.3801909585928764
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,21,9561,85303,58190,0.6821565478353634,0.3178434521646366,22482,9726,0.4326127568721644,0.3664521138980048
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,22,9802,87510,77064,0.8806307850531367,0.11936921494686326,23697,6811,0.2874203485673292,0.16868250538113358
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,23,9446,84231,74508,0.8845674395412615,0.11543256045873851,22552,6336,0.2809506917346577,0.16363384441763548
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,24,8506,75871,62512,0.8239248197598555,0.17607518024014446,19847,6632,0.3341562956618129,0.2306272065361109
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,25,9139,81718,62054,0.7593675811938618,0.24063241880613817,21114,8140,0.38552619115278963,0.29631501799934845
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,26,8725,77883,60983,0.7830078451009848,0.21699215489901524,20350,7406,0.36393120393120393,0.2718782606195898
Ti64_DIC_Mclean_fresh_4x4_full_Train,Ti64 DIC McLean fresh 4x4,D6h,Atindama,27,8632,76996,49443,0.6421502415709907,0.35784975842900935,19274,9330,0.4840718065788108,0.41149909028618975
