threshold_deg,method,n_samples,gt_boundary_pixels,sr_boundary_pixels,gt_boundary_fraction,sr_boundary_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_precision_tol1,boundary_recall_tol1,boundary_f1_tol1
2.0,Nearest,72,576409,598663,0.48862796359592015,0.507492913140191,0.5621459819631413,0.5838493153299134,0.5727921352904333,0.9138872854141772,0.9282691667868203,0.9210039029054534
5.0,Nearest,72,522151,539751,0.44263288709852433,0.45755259195963544,0.5347558411193309,0.5527807090286143,0.5436189026859353,0.8969771229057364,0.9033303486495738,0.9000966444387761
10.0,Nearest,72,425140,438380,0.3603956434461806,0.3716193305121528,0.4975067293215931,0.5130004233899421,0.5051347971095053,0.8656294814789227,0.858235021301272,0.8617101879734579
2.0,Bicubic,72,576409,1105094,0.48862796359592015,0.9367997911241319,0.4967468830705804,0.9523654210812115,0.6529301464225755,0.8482811538812279,0.9810404155873899,0.909103549287141
5.0,Bicubic,72,522151,922734,0.44263288709852433,0.7822113037109375,0.4785712892339504,0.8457208738468374,0.611251414472432,0.8382106088002409,0.9142199010289276,0.8730177646191661
10.0,Bicubic,72,425140,717048,0.3603956434461806,0.60784912109375,0.44463690017962537,0.7499317871759891,0.5582723684717402,0.8017899557344379,0.8739701915894302,0.8337835735951303
2.0,SLERP,72,576409,966917,0.48862796359592015,0.8196656968858507,0.5197529881054941,0.8718774342524145,0.6512661615238776,0.8729556537831407,0.9428063599088249,0.905162574085966
5.0,SLERP,72,522151,824525,0.44263288709852433,0.698958502875434,0.4938528243534156,0.7798395483298892,0.6047393730934538,0.853945092973966,0.8712602172255379,0.8602016933419162
10.0,SLERP,72,425140,627160,0.3603956434461806,0.5316501193576388,0.4505229925377894,0.6646046008373713,0.53701415946023,0.8107330924391838,0.8165030439727706,0.8102849541423987
2.0,Symm-SLERP,72,576409,900529,0.48862796359592015,0.7633878919813368,0.5220464860098898,0.8155979521485611,0.6366116925693563,0.8763420948773063,0.9161952273335786,0.8926363581144314
5.0,Symm-SLERP,72,522151,652039,0.44263288709852433,0.5527403089735243,0.5049161169807328,0.6305168428289901,0.560769551776118,0.865836936677735,0.7550225568425875,0.7949546121363009
10.0,Symm-SLERP,72,425140,396811,0.3603956434461806,0.33638085259331596,0.49435121506208246,0.4614103589405843,0.47731312450498875,0.8612477693342203,0.6321747413832056,0.7191946709865717
2.0,Atindama,72,576409,1179207,0.48862796359592015,0.9996261596679688,0.48867501634573063,0.9997224193237788,0.6564636002405994,0.8387607459752652,1.0,0.9117850665643724
5.0,Atindama,72,522151,1091194,0.44263288709852433,0.9250166151258681,0.45594275628348396,0.9528316521466013,0.6167583498879657,0.8120293591205061,0.9970705944250285,0.894585293028145
